Kq,deltaKq,Ke,deltaKe,Ra,deltaRa,From,To,SamplesCount
0.0017474747930527215,1.5596759394453307E-5,0.006800146253084181,2.200162634461876E-5,9.077843015203513,0.27183758365685373,141,3176,3036
0.003593276336381391,3.795907560295272E-6,0.006731708744160806,3.68267131687896E-5,10.37703176811811,0.3254033204300612,3302,4804,1503
0.005462294109241489,7.16038190550161E-6,0.006648508714831665,4.402412296422299E-5,11.878523598126604,0.3895532622387031,4929,5917,989
0.007196736028116687,1.0276540808669285E-5,0.006650466630566782,5.228560846259428E-5,12.517623667750833,0.46260121257133524,6037,6787,751
0.0089856985643968,1.4724021496181022E-5,0.00664680728486952,5.8954251156176916E-5,13.390243021821192,0.5222597397076302,6907,7508,602
0.0017813539802143661,7.022681713270229E-7,0.006810620746625406,2.2003075113033597E-5,8.492642666441657,0.1939583728519514,7636,10667,3032
0.0035738801780190125,3.450224774406765E-5,0.006681812351942281,3.651034461976009E-5,10.493591850034262,0.4124856954047383,10794,12306,1513
0.005429898336366001,7.261670510018612E-6,0.0066931947229301675,4.534090330076886E-5,11.232857439316533,0.40109928343796875,12432,13427,996
0.007190430580971078,1.6138616073469591E-4,0.00662251447213348,5.299478372452922E-5,12.610255056905862,0.7334445095709848,13549,14300,752
0.008941613209377315,3.7473248292346106E-4,0.006705321289173876,5.867615055141629E-5,12.633847548354888,1.0259803355340675,14419,15020,602
0.0017807840276524514,3.297749229556994E-5,0.006808818041863766,2.182538529326052E-5,8.350512573438463,0.34347268797478425,15146,18176,3031
0.0035530436493629454,1.5689495317075368E-4,0.006607164122077753,3.678695714859262E-5,10.999777035166323,0.7970700175196653,18306,19818,1513
0.005392018667107196,1.3355233541385413E-4,0.0066207311950858974,4.5731345084478306E-5,11.737165191209378,0.6791398456262251,19943,20942,1000
0.007169566269521298,1.6054721467586569E-4,0.006670704383418766,5.2877022907586915E-5,12.058347724486394,0.7202970033246061,21066,21818,753
0.00893933538908878,2.2265072470250337E-4,0.006801993416845127,5.9914941330651986E-5,11.682549106299502,0.802728424645822,21937,22543,607
0.0017759416201314482,1.9296254663705166E-5,0.006737313853909531,2.2105316398619333E-5,8.873416298802193,0.2876099710873926,22670,25709,3040
0.0035585730904243366,3.430468091961096E-5,0.006652824690103074,3.729315071334652E-5,10.51685021008566,0.4193345499031296,25841,27356,1516
0.005407818383311553,6.893453334551918E-6,0.006578212314802066,4.492185037869353E-5,12.087044493838956,0.397085066543628,27483,28482,1000
0.0071475339652858245,1.0606818503334061E-5,0.0066088966763462945,5.142365409039363E-5,12.568335245562457,0.45520608787997585,28605,29360,756
0.009107128125640494,6.499239481499588E-4,0.006753995859117108,5.897064024691432E-5,12.261201196723535,1.387010587115737,29480,30084,605
0.001775070382470181,2.697583793086994E-5,0.0067874205513184255,2.2228350480481783E-5,8.410626033286842,0.320281220521269,30215,33254,3040
0.0035389146460095364,1.1605188350844162E-4,0.006622246483916476,3.678245029098613E-5,10.695777261444112,0.6631453454299311,33387,34910,1524
0.005085881371815983,6.276402684615894E-4,0.00662794260241387,4.47598278226573E-5,10.926410810913028,1.7065033425600296,35037,36034,998
0.006662717829417679,8.957541246638071E-4,0.006690185438078009,5.222274152038328E-5,11.060027367119993,1.902064859276041,36157,36913,757
0.008105608398690636,0.0011390161361514485,0.006801308624798336,6.13030996262357E-5,10.608051807599647,1.9674096153958582,37035,37641,607
0.001540973588078746,2.493767803917477E-4,0.0067861270389637405,2.22355435503982E-5,7.254394311508633,1.341275425555448,37768,40814,3047
0.0029888262242476326,4.5621047630155486E-4,0.006597583010217871,3.675490303464522E-5,9.218026796992595,1.6706138963181636,40944,42462,1519
0.004402072856668559,5.606887753395242E-4,0.0066870552139409,4.585647709696936E-5,8.936438998559488,1.4562844075311645,42589,43592,1004
0.006472345087436165,9.210027094620211E-4,0.0065839832064249725,5.095679226255821E-5,11.464596434932405,2.021984329579532,43717,44470,754
0.007894378553120427,0.0011665119927402343,0.006574813604767932,5.8156012469117864E-5,11.973817544435283,2.20448191064078,44594,45198,605
